sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request,150,45,41,64,27,88,0.0,5.401706939392848,3.5501452834095577
TOTAL,150,45,41,64,27,88,0.0,5.401706939392848,3.5501452834095577
