sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
HTTP Request,50,38,33,53,26,90,0.0,48.78048780487805,32.05983231707317
TOTAL,50,38,33,53,26,90,0.0,48.78048780487805,32.05983231707317
